ACT_ID	CIDX	AIDX	RIDX	TYPE	RELATION	VALUE	UPPER_VALUE	UNITS	TEXT_VALUE	ACTIVITY_COMMENT	CRIDX
ACT_INH_0177	DOM_SIM_177	1_LEY	LEY_VERO	inhibition	=	-0.11		%			LEY_VERO
ACT_INH_0178	DOM_SIM_178	1_LEY	LEY_VERO	inhibition	=	0.25		%			LEY_VERO
ACT_INH_0179	DOM_SIM_179	1_LEY	LEY_VERO	inhibition	=	0.06		%			LEY_VERO
ACT_INH_0180	DOM_SIM_180	1_LEY	LEY_VERO	inhibition	=	0.04		%			LEY_VERO
ACT_INH_0181	DOM_SIM_181	1_LEY	LEY_VERO	inhibition	=	-0.02		%			LEY_VERO
ACT_INH_0182	DOM_SIM_182	1_LEY	LEY_VERO	inhibition	=	-0.02		%			LEY_VERO
ACT_INH_0183	DOM_SIM_183	1_LEY	LEY_VERO	inhibition	=	-0.07		%			LEY_VERO
ACT_INH_0184	DOM_SIM_184	1_LEY	LEY_VERO	inhibition	=	-0.01		%			LEY_VERO
ACT_INH_0185	DOM_SIM_185	1_LEY	LEY_VERO	inhibition	=	-0.27		%			LEY_VERO
ACT_INH_0186	DOM_SIM_186	1_LEY	LEY_VERO	inhibition	=	0.06		%			LEY_VERO
ACT_INH_0187	DOM_SIM_187	1_LEY	LEY_VERO	inhibition	=	0.12		%			LEY_VERO
ACT_INH_0188	DOM_SIM_188	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0189	DOM_SIM_189	1_LEY	LEY_VERO	inhibition	=	-0.08		%			LEY_VERO
ACT_INH_0190	DOM_SIM_190	1_LEY	LEY_VERO	inhibition	=	-0.09		%			LEY_VERO
ACT_INH_0191	DOM_SIM_191	1_LEY	LEY_VERO	inhibition	=	0.26		%			LEY_VERO
ACT_INH_0192	DOM_SIM_192	1_LEY	LEY_VERO	inhibition	=	0.01		%			LEY_VERO
ACT_INH_0193	DOM_SIM_193	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0194	DOM_SIM_194	1_LEY	LEY_VERO	inhibition	=	-0.17		%			LEY_VERO
ACT_INH_0195	DOM_SIM_195	1_LEY	LEY_VERO	inhibition	=	0.13		%			LEY_VERO
ACT_INH_0196	DOM_SIM_196	1_LEY	LEY_VERO	inhibition	=	-0.27		%			LEY_VERO
ACT_INH_0197	DOM_SIM_197	1_LEY	LEY_VERO	inhibition	=	0.48		%			LEY_VERO
ACT_INH_0198	DOM_SIM_198	1_LEY	LEY_VERO	inhibition	=	0.12		%			LEY_VERO
ACT_INH_0199	DOM_SIM_199	1_LEY	LEY_VERO	inhibition	=	0.04		%			LEY_VERO
ACT_INH_0200	DOM_SIM_200	1_LEY	LEY_VERO	inhibition	=	-0.06		%			LEY_VERO
ACT_INH_0201	DOM_SIM_201	1_LEY	LEY_VERO	inhibition	=	0.07		%			LEY_VERO
ACT_INH_0202	DOM_SIM_202	1_LEY	LEY_VERO	inhibition	=	-0.11		%			LEY_VERO
ACT_INH_0203	DOM_SIM_203	1_LEY	LEY_VERO	inhibition	=	-0.03		%			LEY_VERO
ACT_INH_0204	DOM_SIM_204	1_LEY	LEY_VERO	inhibition	=	0.1		%			LEY_VERO
ACT_INH_0205	DOM_SIM_205	1_LEY	LEY_VERO	inhibition	=	0.01		%			LEY_VERO
ACT_INH_0206	DOM_SIM_206	1_LEY	LEY_VERO	inhibition	=	-0.29		%			LEY_VERO
ACT_INH_0207	DOM_SIM_207	1_LEY	LEY_VERO	inhibition	=	-0.04		%			LEY_VERO
ACT_INH_0208	DOM_SIM_208	1_LEY	LEY_VERO	inhibition	=	0.21		%			LEY_VERO
ACT_INH_0209	DOM_SIM_209	1_LEY	LEY_VERO	inhibition	=	0.03		%			LEY_VERO
ACT_INH_0210	DOM_SIM_210	1_LEY	LEY_VERO	inhibition	=	-0.04		%			LEY_VERO
ACT_INH_0211	DOM_SIM_211	1_LEY	LEY_VERO	inhibition	=	4.74		%			LEY_VERO
ACT_INH_0212	DOM_SIM_212	1_LEY	LEY_VERO	inhibition	=	0.07		%			LEY_VERO
ACT_INH_0213	DOM_SIM_213	1_LEY	LEY_VERO	inhibition	=	0.13		%			LEY_VERO
ACT_INH_0214	DOM_SIM_214	1_LEY	LEY_VERO	inhibition	=	-0.11		%			LEY_VERO
ACT_INH_0215	DOM_SIM_215	1_LEY	LEY_VERO	inhibition	=	-0.21		%			LEY_VERO
ACT_INH_0216	DOM_SIM_216	1_LEY	LEY_VERO	inhibition	=	-0.11		%			LEY_VERO
ACT_INH_0217	DOM_SIM_217	1_LEY	LEY_VERO	inhibition	=	-0.15		%			LEY_VERO
ACT_INH_0218	DOM_SIM_218	1_LEY	LEY_VERO	inhibition	=	0.03		%			LEY_VERO
ACT_INH_0219	DOM_SIM_219	1_LEY	LEY_VERO	inhibition	=	0		%			LEY_VERO
ACT_INH_0220	DOM_SIM_220	1_LEY	LEY_VERO	inhibition	=	-0.04		%			LEY_VERO
