COMPOUND_ID	ASSAY_ID	STATUS	VALUE	UNIT	SUPPLIER
DNDI1343002	1000986	=	1.53	ug/ml	SCYNEXIS
DNDI1343002	1005759	>	10	ug/ml	SCYNEXIS
DNDI1343002	1005759	>	10	ug/ml	SCYNEXIS
DNDI1343002	1006968	=	88.4	nm/s	SCYNEXIS
DNDI1343002	1007183	=	100	%	SCYNEXIS
DNDI1343002	1007186	=	-.49	none	SCYNEXIS
DNDI1343003	1000986	=	1.68	ug/ml	SCYNEXIS
DNDI1343003	1005759	=	4.94	ug/ml	SCYNEXIS
DNDI1343004	1000986	>	5	ug/ml	SCYNEXIS
DNDI1343004	1005759	>	10	ug/ml	SCYNEXIS
DNDI1343005	1000986	>	5	ug/ml	SCYNEXIS
DNDI1343005	1005759	>	10	ug/ml	SCYNEXIS
DNDI1343006	1005759	=	2.57	ug/ml	SCYNEXIS
DNDI1343006	1000986	=	1.1	ug/ml	SCYNEXIS
DNDI1343007	1000986	=	3.65	ug/ml	SCYNEXIS
DNDI1343007	1005759	=	6.92	ug/ml	SCYNEXIS
DNDI1343008	1000986	>	5	ug/ml	SCYNEXIS
DNDI1343008	1005759	>	10	ug/ml	SCYNEXIS
DNDI1343009	1000986	=	4.04	ug/ml	SCYNEXIS
DNDI1343009	1005759	=	7.66	ug/ml	SCYNEXIS
DNDI1343010	1004748	=	6	uM	SCYNEXIS
DNDI1343010	1000249	=	4.77	none	SCYNEXIS
DNDI1343010	1000986	>	5	ug/ml	SCYNEXIS
DNDI1343010	1005759	>	10	ug/ml	SCYNEXIS
DNDI1343024	1000986	>	5	ug/ml	SCYNEXIS
DNDI1343024	1005759	>	10	ug/ml	SCYNEXIS
DNDI1348522	1005759	=	2.52	ug/ml	SCYNEXIS
DNDI1348522	1000986	>	5	ug/ml	SCYNEXIS
DNDI1362012	1000986	>	5	ug/ml	SCYNEXIS
DNDI1362012	1005759	=	4.88	ug/ml	SCYNEXIS
DNDI1372127	1004748	=	100	uM	SCYNEXIS
DNDI1372127	1000249	=	4.85	none	SCYNEXIS
DNDI1372127	1006968	=	116.2	nm/s	SCYNEXIS
DNDI1372127	1007183	=	77.5	%	SCYNEXIS
DNDI1372127	1006969	=	211.1	nm/s	SCYNEXIS
DNDI1372127	1007226	=	110.1	%	SCYNEXIS
DNDI1372127	1007186	=	.45	none	SCYNEXIS
DNDI1372127	1005759	=	3.48	ug/ml	SCYNEXIS
DNDI1372127	1000986	=	1.28	ug/ml	SCYNEXIS
DNDI1381272	1000986	=	2.07	ug/ml	SCYNEXIS
DNDI1381272	1005759	=	1.78	ug/ml	SCYNEXIS
DNDI1381273	1005759	=	1.54	ug/ml	SCYNEXIS
DNDI1381273	1000986	=	2.22	ug/ml	SCYNEXIS
DNDI1381274	1000986	=	3.82	ug/ml	SCYNEXIS
DNDI1381274	1005759	=	9.91	ug/ml	SCYNEXIS
DNDI1383300	1000986	>	5	ug/ml	SCYNEXIS
DNDI1383300	1005759	>	10	ug/ml	SCYNEXIS
DNDI1383301	1000986	=	1.13	ug/ml	SCYNEXIS
DNDI1383301	1005759	=	2.28	ug/ml	SCYNEXIS
DNDI1383302	1000986	=	1.05	ug/ml	SCYNEXIS
DNDI1383302	1005759	=	2.51	ug/ml	SCYNEXIS
DNDI1383303	1004748	=	3	uM	SCYNEXIS
DNDI1383303	1000249	=	4.79	none	SCYNEXIS
DNDI1383303	1005759	=	2.49	ug/ml	SCYNEXIS
DNDI1383303	1000986	=	1.02	ug/ml	SCYNEXIS
DNDI1383304	1004748	=	3	uM	SCYNEXIS
DNDI1383304	1000249	>	5.2	none	SCYNEXIS
DNDI1383304	1007185	=	51	%	SCYNEXIS
DNDI1383304	1007184	=	34.3	nm/s	SCYNEXIS
DNDI1383304	1006968	=	32.6	nm/s	SCYNEXIS
DNDI1383304	1007183	=	59	%	SCYNEXIS
DNDI1383304	1007186	=	.05	none	SCYNEXIS
DNDI1383304	1005759	>	10	ug/ml	SCYNEXIS
DNDI1383304	1000986	=	5	ug/ml	SCYNEXIS
DNDI1383304	1006730	=	256	min	SCYNEXIS
DNDI1383305	1000986	=	4.3	ug/ml	SCYNEXIS
DNDI1383305	1005759	=	5.91	ug/ml	SCYNEXIS
DNDI1383306	1000986	>	5	ug/ml	SCYNEXIS
DNDI1383306	1005759	>	10	ug/ml	SCYNEXIS
DNDI1388161	1000986	>	5	ug/ml	SCYNEXIS
DNDI1388161	1005759	>	10	ug/ml	SCYNEXIS
DNDI1388551	1000986	>	5	ug/ml	SCYNEXIS
DNDI1388551	1005759	>	10	ug/ml	SCYNEXIS
DNDI1391898	1004748	=	100	uM	SCYNEXIS
DNDI1391898	1000249	=	4.09	none	SCYNEXIS
DNDI1391898	1007185	=	108	%	SCYNEXIS
DNDI1391898	1007184	=	539	nm/s	SCYNEXIS
DNDI1391898	1006730	=	19	min	SCYNEXIS
DNDI1391898	1000986	>	5	ug/ml	SCYNEXIS
DNDI1391898	1005759	>	10	ug/ml	SCYNEXIS
